ID,RA,DEC,zml,X,Y,Z,PROB_GAL_GAIA,PROB_GAL,sigma_68,pdf_means_0,pdf_means_1,pdf_means_2,pdf_stds_0,pdf_stds_1,pdf_stds_2,pdf_weights_0,pdf_weights_1,pdf_weights_2,dis
iDR5_3_SPLUS-s27s37_0016432,59.24901618330617,-34.954889216002265,0.0939183607697486,118.07500057793698,198.4584772999098,-161.4263096072361,1.0,1.0,0.021500002592802,0.1090793833136558,0.0819988548755645,0.1154620200395584,0.0163324009627103,0.0141195766627788,0.0794509202241897,0.56473708152771,0.4306777715682983,0.0044132443144917,281.75508230924584
iDR5_3_SPLUS-s27s37_0017095,59.712586189867466,-34.92876267065456,0.1767551004886627,219.25876713849695,375.40569798025945,-303.6073861019784,1.0,0.9980000257492064,0.0155000016093254,0.1753044724464416,0.1792796552181244,0.0622402094304561,0.0152870249003171,0.0155136482790112,0.0920097529888153,0.6279975175857544,0.3687414526939392,0.0033230264671146,530.265301465988
iDR5_3_SPLUS-s27s37_0022112,59.34469809837873,-34.74690864675591,0.061244897544384,76.97572669417418,129.87258805307656,-104.72003461276417,1.0,1.0,0.0070000011473894,0.0612679608166217,0.0604703538119792,0.1392844319343567,0.0063227033242583,0.0097875911742448,0.0636461824178695,0.8270935416221619,0.1644141525030136,0.0081383548676967,183.734692633152
iDR5_3_SPLUS-s27s37_0023039,58.65025396706656,-34.5234299009533,0.0928367376327514,119.38061733668196,195.9631381495662,-157.84376889670875,1.0,1.0,0.0294999964535236,0.0985342785716056,0.0871063843369484,0.1186740919947624,0.0296425595879554,0.0278522334992885,0.1257765293121338,0.5454835891723633,0.4455125331878662,0.0089718643575906,278.51021289825417
iDR5_3_SPLUS-s27s37_0025088,59.75255585760428,-34.60529374590071,0.0724897906184196,90.166396900846,154.62672393773548,-123.50516106350896,1.0,1.0,0.0205000005662441,0.0817039012908935,0.0679889842867851,0.1416386365890503,0.0211959332227706,0.0166547261178493,0.1076900064945221,0.5124455690383911,0.4794642925262451,0.0087788105010986,217.46937185525883
iDR5_3_SPLUS-s27s37_0025875,59.05513470290295,-34.65966553408422,0.0611632652580738,77.60941695458031,129.44575070622406,-104.35076031029992,1.0,0.9950000047683716,0.0065000019967556,0.0604280158877372,0.0649747103452682,0.082972764968872,0.0052007623016834,0.0079587139189243,0.0619805306196212,0.5790363550186157,0.4176786541938782,0.0031796966213732,183.4897957742214
iDR5_3_SPLUS-s27s37_0027101,58.98185491019928,-34.68959668458865,0.0863265246152877,109.73272687367307,182.49498804101316,-147.39310588410575,1.0,1.0,0.0130000002682209,0.0896685570478439,0.0734610557556152,0.1043807342648506,0.010237855836749,0.0100404769182205,0.0620741173624992,0.6511816382408142,0.3456142246723175,0.0030846162699162,258.9795738458631
iDR5_3_SPLUS-s27s37_0028114,59.36889085652896,-34.16732068861215,0.0656734704971313,83.05750326009374,140.26869216470922,-110.64893896843178,1.0,1.0,0.0109999999403953,0.0655523687601089,0.0916907340288162,0.1500383615493774,0.0077466461807489,0.0198981612920761,0.0805342271924018,0.7972120642662048,0.1939002871513366,0.0089889094233512,197.02041149139396
iDR5_3_SPLUS-s27s37_0028604,58.46251464262984,-34.18694597747972,0.0554897971451282,72.02742138866387,117.3656428831961,-93.53830618298169,1.0,1.0,0.0085000023245811,0.0545721352100372,0.0581379644572734,0.0815838128328323,0.0070385280996561,0.0097560863941907,0.0767534747719764,0.5152482986450195,0.4813116788864136,0.0034667882137,166.4693914353846
iDR5_3_SPLUS-s27s37_0029782,59.18509323809587,-34.20912064909712,0.0701632648706436,89.17183040513669,149.4986895130834,-118.34052616006512,1.0,1.0,0.0205000005662441,0.0642658397555351,0.0807940438389778,0.1393774449825287,0.0170495025813579,0.0200190469622612,0.1169390454888343,0.5030475854873657,0.4904646873474121,0.0062953592278063,210.4897946119308
iDR5_3_SPLUS-s27s37_0030331,59.13297244489737,-34.24676368672509,0.0674897953867912,85.86645793156067,143.65994742977043,-113.94131489026095,1.0,1.0,0.0179999992251396,0.0643225535750389,0.082766517996788,0.1174668595194816,0.0125690465793013,0.0181445479393005,0.1025310829281807,0.5337538719177246,0.4604685008525848,0.0055189859122037,202.4693861603736
iDR5_3_SPLUS-s27s37_0030371,58.96921966595643,-34.24764667046353,0.0444081649184227,56.76931270610161,94.36513475489974,-74.9748789953203,1.0,1.0,0.0085000004619359,0.0441798791289329,0.0504426397383213,0.0946082174777984,0.0071864686906337,0.0140604637563228,0.0926929712295532,0.7388830184936523,0.2551694810390472,0.0060767941176891,133.2244947552681
iDR5_3_SPLUS-s27s37_0031413,58.5187771701311,-34.28019204221744,0.0679183676838874,87.92155471159528,143.58053765438433,-114.76311011630592,1.0,1.0,0.0089999958872795,0.0674214661121368,0.0708595737814903,0.0647505074739456,0.0072918841615319,0.0113917421549558,0.0765153467655181,0.6133328080177307,0.3827992677688598,0.0039622890762984,203.7551030516622
iDR5_3_SPLUS-s27s37_0032125,58.35250029047818,-34.47855251929644,0.0547551028430461,71.04860519829981,115.27361980000634,-92.99021380636088,0.996999979019165,0.9900000095367432,0.0075000021606683,0.0558768585324287,0.0528867691755294,0.0872400403022766,0.00657051615417,0.0073676696047186,0.0635872036218643,0.5314847826957703,0.4634776711463928,0.0051353210583329,164.2653085291383
iDR5_3_SPLUS-s27s37_0032777,58.6221700757342,-34.669933894773834,0.0621632672846317,79.86031965267966,130.9461154385534,-106.08435507665553,1.0,1.0,0.0094999987632036,0.0621314458549022,0.0767530798912048,0.164848655462265,0.008075282908976,0.0260290838778018,0.1025631129741668,0.8678551912307739,0.1198116540908813,0.0125375632196664,186.4898018538951
iDR5_3_SPLUS-s27s37_0033686,59.140411899067374,-34.32174412252154,0.1070816367864608,136.08761780536872,227.7502301985752,-181.13057543209965,1.0,1.0,0.0185000002384185,0.1161404401063919,0.0966642498970031,0.1006251722574234,0.015204856172204,0.0145222283899784,0.0767810121178627,0.5469875931739807,0.4472349882125854,0.0061676995828747,321.2449103593824
iDR5_3_SPLUS-s27s37_0033946,59.43885670192932,-34.33022386817725,0.0613265298306942,77.25021866547522,130.82539764070813,-103.75744984319005,1.0,1.0,0.0139999967068433,0.060526106506586,0.0807469636201858,0.1066030859947204,0.0088646197691559,0.0161913111805915,0.076432004570961,0.6673818826675415,0.3262113332748413,0.0065820715390145,183.9795894920826
iDR5_3_SPLUS-s27s37_0036287,59.86539194638458,-34.41706103075875,0.0693265348672866,86.13473434752989,148.38357130980336,-117.55270832513769,1.0,1.0,0.0170000009238719,0.0687259882688522,0.0949668809771537,0.1147329807281494,0.0084928618744015,0.0141687588766217,0.0656221285462379,0.630294680595398,0.3633947670459747,0.0060414806939661,207.9796046018598
iDR5_3_SPLUS-s27s37_0036454,59.77542101190566,-34.39512957244685,0.0344897992908954,42.97897392470585,73.77245811720539,-58.44953823479592,0.996999979019165,0.9919999837875366,0.0054999990388751,0.0337943993508815,0.0359211824834346,0.0385231375694274,0.0049440348520874,0.0053560556843876,0.054909661412239,0.606196403503418,0.3894884586334228,0.0043038907460868,103.4693978726862
